Dwelling Type,Year,Month,Region,Description,electricity_per_month,gas_per_month
1-room / 2-room,2023,1,Central Region,Bishan,123,4
1-room / 2-room,2023,1,Central Region,Bishan,123,47
1-room / 2-room,2023,1,Central Region,Bishan,11,4
1-room / 2-room,2023,1,Central Region,Bishan,11,47
1-room / 2-room,2023,1,East Region,Bedok,156,3
1-room / 2-room,2023,1,East Region,Bedok,156,39
1-room / 2-room,2023,1,East Region,Bedok,14,3
1-room / 2-room,2023,1,East Region,Bedok,14,39
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,164,3
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,164,40
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,15,3
1-room / 2-room,2023,1,North East Region,Ang Mo Kio,15,40
1-room / 2-room,2023,1,West Region,Bukit Batok,147,2
1-room / 2-room,2023,1,West Region,Bukit Batok,147,28
1-room / 2-room,2023,1,West Region,Bukit Batok,14,2
1-room / 2-room,2023,1,West Region,Bukit Batok,14,28
1-room / 2-room,2023,2,Central Region,Bishan,109,50
1-room / 2-room,2023,2,East Region,Bedok,143,39
1-room / 2-room,2023,2,North East Region,Ang Mo Kio,162,44
1-room / 2-room,2023,2,West Region,Bukit Batok,138,29
1-room / 2-room,2023,3,Central Region,Bishan,107,37
1-room / 2-room,2023,3,East Region,Bedok,134,39
1-room / 2-room,2023,3,North East Region,Ang Mo Kio,147,41
1-room / 2-room,2023,3,West Region,Bukit Batok,130,29
1-room / 2-room,2023,4,Central Region,Bishan,128,42
1-room / 2-room,2023,4,East Region,Bedok,164,42
1-room / 2-room,2023,4,North East Region,Ang Mo Kio,171,43
1-room / 2-room,2023,4,West Region,Bukit Batok,163,30
1-room / 2-room,2023,5,Central Region,Bishan,120,44
1-room / 2-room,2023,5,East Region,Bedok,172,38
1-room / 2-room,2023,5,North East Region,Ang Mo Kio,188,41
1-room / 2-room,2023,5,West Region,Bukit Batok,170,28
1-room / 2-room,2023,6,Central Region,Bishan,180,30
1-room / 2-room,2023,6,East Region,Bedok,185,36
1-room / 2-room,2023,6,North East Region,Ang Mo Kio,201,42
1-room / 2-room,2023,6,West Region,Bukit Batok,195,28
1-room / 2-room,2023,7,Central Region,Bishan,148,34
1-room / 2-room,2023,7,East Region,Bedok,179,40
